Lease_Name,Top_Depth,Box,Inch,Depth_calculated,XRF_adjusted_depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,TOC,d13Ccorr,TON,CN,d15N,d13C_carb,d18O_carb,TIC,QUARTZ,K-FELDSPAR,PLAGIOCLASE,CALCITE,SIDERITE,DOLOMITE,Fe_DOLOMITE,PYRITE,FLUORAPATITE,TOTAL CLAY,Average_UCS_MPa,Formation
Core-01,4536,B01,1,4536.08,,0.27,0.29,0.53,5.38,0.05,0.49,0.21,29.09,0.02,213.1,0.97,0,80.5,9.51,6.63,14.34,21.37,22.95,5.72,5.1,9.62,,2.27,15.39,8.59,641.76,9.19,11.64,2.2,2.07,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,3,4536.25,,0.3,0.4,0.62,5.49,0.06,1.08,0.27,30.92,0.03,207.51,1.05,0,81.97,12.23,5.71,19.4,22.33,29.14,3.17,6.55,9.16,,2.44,19.2,8.07,635.56,14.97,13.23,2.64,2.09,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,5,4536.42,,0.29,0.3,0.74,5.72,0.06,0.74,0.3,28.48,0.03,209.68,1.06,0,74.33,12.49,7.2,16.34,23.73,32.2,3.97,9.9,10.99,,2.39,27.73,0,666.38,14.32,13.13,3.56,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,7,4536.58,,0.39,1.24,0.6,5.36,0.17,5.22,0.2,28.46,0.03,198.65,1.03,0,78.63,15.65,5.81,18.92,23.11,24.06,6.18,8.7,10.73,,2.05,19.69,0.23,629.58,14.17,11.91,3.44,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,9,4536.75,,0.39,1.11,0.55,5.3,0.15,4.51,0.16,29.43,0.02,201.53,1.02,0,80.41,15.07,7.05,18.62,29.09,127.3,6.55,13.2,11.96,,1.85,18.06,0,598.24,12.27,7.81,3.08,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,11,4536.92,,0.29,0.39,0.84,5.91,0.06,0.9,0.28,26.02,0.04,212.51,1.05,0,71.4,17.79,4.9,20.04,22.05,31.87,4.32,10.68,10.02,,2.17,24.61,0,661.32,11.55,28.15,3.85,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,13,4537.08,,0.26,0.16,0.58,5.42,0.04,0.37,0.23,29.69,0.02,214.13,1,0,80.37,13.1,6.59,17.75,21.58,31.47,4.72,9.63,11.1,,2.07,20.11,0,613.51,14.68,17.85,3.39,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,15,4537.25,,0.3,0.34,0.54,5.35,0.06,1.16,0.16,27.87,0.02,211.52,0.97,0,81.1,9.17,6.85,15.31,21.56,25.51,5.1,4.62,8.85,,2,16.64,0.73,605.13,9.48,8.92,3.1,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,17,4537.42,,0.33,0.63,0.8,6.28,0.07,1.52,0.28,28.67,0.03,206.4,1,0,77.98,21.74,6.52,22.02,23.9,26.91,6.46,9.26,10.58,,2.13,19.84,2.66,638.89,11.24,31.51,3.07,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,19,4537.58,,0.27,0.24,0.69,6.03,0.05,0.75,0.18,24.33,0.02,211.22,1.05,0,76.34,10.58,6.06,17.01,23.04,26.78,4.78,9.81,11.17,,2.3,24.14,0.55,666.32,12,23.28,2.91,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,21,4537.75,,0.28,0.35,1.08,6.25,0.05,0.48,0.41,25.77,0.04,209.92,1.04,0,67.39,15.55,4.39,17.17,21.83,33.88,6.91,8.55,10.99,,3.06,31.55,2.91,701.99,16.6,38.13,4,2.38,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,23,4537.92,,0.26,0.26,0.57,5.31,0.04,0.46,0.2,30.81,0.02,211.92,0.98,0,80.79,10.03,5.7,21.61,21.55,14.97,5.15,6.04,9,,1.96,14.25,4.84,610.08,10.89,17.29,3.19,0.22,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,25,4538.08,,0.3,0.57,2.33,7.89,0.05,0.48,0.6,22.6,0.09,201.85,1.31,64.32,48.57,26.44,5.42,33.17,23.04,44.69,9.5,18.55,14.19,,2.93,33.48,0,731.64,23.03,87.71,5.62,3.38,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,27,4538.25,,0.27,0.25,0.88,5.75,0.04,0.35,0.29,28.51,0.03,211.23,1,0,78.26,14.28,4.77,15.24,18.08,24.25,4.9,8.33,9.69,,1.88,17.61,0,659.8,12.8,25.7,3.89,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,29,4538.42,,0.28,0.29,0.57,5.39,0.04,0.56,0.19,29.71,0.02,214.16,0.97,0,81.83,13.3,7.12,18.2,24.26,28.8,4.14,6.83,13.05,,1.95,20.39,0,704.4,10.83,7.52,3.63,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,31,4538.58,,0.27,0.28,0.47,5.21,0.05,0.39,0.16,30.56,0.02,213.86,0.95,0,82.72,12.93,6.28,14.02,22.75,27.25,2.66,8.89,9.22,,1.65,14.75,0,585.22,13.77,13.29,2.64,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,33,4538.75,,0.26,0.21,0.65,5.46,0.04,0.36,0.24,29.39,0.02,211.96,0.98,0,82.59,10.1,5.38,14.64,22.36,25.13,5.51,6,8.7,,2.03,13.5,7.75,669.38,10.51,16.27,3.33,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,35,4538.92,,0.37,0.93,0.62,5.4,0.11,3.24,0.22,29.5,0.02,204.87,0.94,0,80.33,13.32,5.52,17.45,21.72,26.41,4.92,5.73,8.66,,2.22,19.53,1.24,684.44,10.43,13.86,2.91,0.4,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,37,4539.08,,0.29,0.32,0.64,5.53,0.05,0.74,0.22,28.66,0.02,213.31,1,0,82.67,11.85,5.61,11.03,21.2,32.57,4.94,6.96,9.99,,2.14,15.25,7.94,673.9,6.08,12.36,3.32,0.43,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,39,4539.25,,0.29,0.29,0.57,5.46,0.05,0.88,0.2,29.13,0.02,211.71,0.97,0,78.76,10.71,6.6,14.88,21.96,31.32,5.57,4.59,8.39,,1.46,18.06,0,651.29,12.06,10.07,3.76,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,41,4539.42,,0.31,0.41,0.66,5.62,0.06,1.22,0.21,26.93,0.02,211.87,0.97,0,75.43,12.4,5.92,15.33,23.68,25.73,5.83,8.81,10.47,,2.16,17.74,3.14,707.98,11.83,7.61,3.39,0.33,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,43,4539.58,,0.34,0.68,0.61,5.42,0.09,2.22,0.24,30.36,0.02,208.47,0.98,0,83.39,11.77,5.18,16.21,22.8,38.29,7.93,6.68,10.17,,2.29,18.63,6.6,679.47,12.63,20.39,3.35,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,45,4539.75,,0.31,0.46,0.67,5.5,0.07,1.52,0.27,30.85,0.03,210.8,0.96,0,81.86,12.64,7.38,15.32,22.88,27.69,4.72,10.21,10.76,,2.1,21.09,0,674.43,13.75,20.55,3.29,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,47,4539.92,,0.28,0.27,0.72,5.66,0.05,0.43,0.34,29.8,0.03,210.76,1.01,0,75.29,12.76,4.87,15.11,22.34,28.13,4.09,7.95,10.14,,2.14,20.88,0,635.61,12.39,19.92,3.61,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,49,4540.08,,0.27,0.24,0.48,5.33,0.05,0.72,0.13,27.41,0.02,213.25,1.13,0,78.28,8.51,7.08,19.91,22.76,70.08,3.89,7.19,8.51,,2.19,18.75,1.68,691.37,10,7.2,3.21,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,51,4540.25,,0.26,0.2,0.44,5.29,0.05,0.38,0.14,28.65,0.01,216.15,0.99,0,80.73,7.78,5,13.95,20.45,17.1,3.63,5.84,11.27,,1.69,17.98,0,633.73,8.57,6.57,3.48,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,53,4540.42,,0.26,0.16,0.49,5.32,0.04,0.36,0.17,29.2,0.02,216.2,0.97,0,81.99,9.34,7.13,17.95,23.91,30.41,5.56,8.63,11.59,,1.65,13.76,0.94,651.33,9.16,11.75,2.42,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,55,4540.58,,0.26,0.19,0.57,5.5,0.05,0.48,0.18,26.68,0.02,214.04,1,0,74.91,9.67,6.86,17.3,22.82,31.31,4.54,7.51,7.26,,2.08,20.28,0,728.3,13.31,14.83,2.94,1.4,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,57,4540.75,,0.38,1.07,0.51,5.61,0.14,4.22,0.12,27.94,0.02,202.72,0.87,0,79.96,15.62,6.49,15.16,21.3,22.03,4.38,10.21,11.23,,1.95,11.48,8.99,654.67,7.63,11.81,2.67,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,59,4540.92,,0.25,0.08,0.57,5.57,0.07,0.37,0.14,23.02,0.02,219.37,1.02,0,74.32,6.06,4.75,16.01,21.23,30.97,3.64,9.61,9.88,,2.01,20.65,0,691.16,9.63,12.69,3.15,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,61,4541.08,,0.36,0.77,0.58,5.36,0.1,2.91,0.18,30.02,0.02,203.83,1.05,0,80.9,14.13,5.89,19.94,21.51,33.07,5.95,11.91,11.6,,2.04,19.76,0,655.95,14.24,9.92,2.89,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,63,4541.25,,0.34,0.65,0.75,5.71,0.09,2.14,0.29,29.52,0.03,207.94,0.98,0,76.87,16.82,5.81,17.55,23.1,27.49,6.41,9.27,10.68,,1.88,14.8,4.48,745.24,11.99,12.97,2.95,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,65,4541.42,,0.26,0.18,0.59,6.05,0.05,0.41,0.19,28.09,0.02,213.38,0.95,0,81.35,15.64,5.83,20.25,25.26,25.5,6.35,10.2,10.87,,2.07,20.13,1.65,740.23,11.94,13.62,3.52,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,67,4541.58,,0.3,0.49,0.78,5.7,0.06,1.01,0.33,30.66,0.03,210.59,0.97,0,77.81,14.87,5.29,18.76,20.92,35.75,6.06,11.38,11.47,,2.2,22.03,0.69,690.95,13.51,16.71,3.21,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,69,4541.75,,0.31,0.36,0.45,6.35,0.06,1.37,0.05,27.67,0.01,211.76,0.94,0,85.11,25.95,6.98,17.97,22.51,30.77,5.1,8.22,10.22,,1.97,12.32,8.7,706.15,8.39,11.03,2.56,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,73,4542.08,,0.27,0.29,0.92,5.86,0.05,0.79,0.3,26.75,0.03,212.37,1.02,0,74.02,15.6,6.51,14.78,21.08,26.62,4.11,10.16,10.53,,2.13,23.22,0,648.59,10.7,20.28,4.09,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,75,4542.25,,0.23,0.09,0.9,5.87,0.04,0.32,0.21,21.95,0.02,217.63,1.04,0,74.29,8.85,4.27,11.33,19.57,27.74,5.72,4.48,8.21,,2.71,18.44,14.52,638.98,12.02,19.47,3.78,2.17,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,77,4542.42,,0.31,0.8,3.28,8.99,0.04,0.36,0.79,21.51,0.11,198.22,1.19,356.56,40.69,34.59,2.9,22.2,18.17,54.05,9.53,9.85,11.62,,3.15,36.56,0,590.3,16.73,126.69,6.44,1.57,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,79,4542.58,,0.3,0.55,1.64,6.72,0.04,0.44,0.57,28.14,0.06,205.65,1.09,0,66.28,23.86,4.06,19.82,22.03,26.83,7.42,8.54,10.72,,3.3,27.4,17,657.83,13.09,44.49,4.5,0.1,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,81,4542.75,,0.3,0.41,1.22,6.19,0.05,0.75,0.45,27.7,0.05,209.09,1.1,0,64.12,16.62,5.25,15.24,21.06,39.2,6.36,10.57,11.24,,2.85,25.1,10.31,625.76,13.63,50.71,3.74,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,83,4542.92,,0.27,0.28,0.58,5.38,0.05,0.39,0.19,30.02,0.01,213.96,0.99,0,82.86,9.48,5.55,15.54,20.77,25.76,4.96,9.3,12.14,,1.84,15.08,2.14,615.7,13.7,9.36,3.31,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,85,4543.08,,0.27,0.29,0.94,5.94,0.04,0.38,0.28,26.43,0.03,213.26,1.06,0,72.45,11.8,6.12,20.76,21.44,30.63,6.07,7.46,10.38,,2.36,19.93,4.67,675.22,13.55,19.06,3.76,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,87,4543.25,,0.3,0.43,0.66,5.5,0.06,1.1,0.22,29.19,0.02,210.93,0.97,0,80.11,11.58,7.2,24.09,19.89,27.98,5.56,7.01,11.87,,1.63,12,1.97,667.12,10.2,6.51,2.93,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,89,4543.42,,0.32,0.54,0.53,5.32,0.08,2.34,0.13,25.87,0.02,209.67,1.01,0,76.1,8.67,6.27,15.51,21.7,25.87,3.91,4.98,11.25,,2.33,17.98,4.28,637.05,10.83,5.86,3.63,1.92,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,91,4543.58,,0.32,0.53,0.65,5.52,0.08,1.7,0.24,29.93,0.02,207.15,1,0,79.84,11.35,7.32,21.52,20.67,28.98,6.34,7.38,9.02,,2.25,19.67,3.15,670.95,11.71,8.69,3.42,0.96,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4536,B01,93,4543.75,,0.29,0.37,0.62,5.5,0.06,1.17,0.21,27.99,0.02,213.37,1.01,0,78.76,8.32,7.76,18.1,21.9,31.82,5.21,9.43,10.34,,1.71,23.56,0,641.12,11.15,10.53,3.49,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,1,4544.08,,0.28,0.32,0.74,5.59,0.05,0.61,0.3,30.29,0.02,211.92,1.01,0,74.25,14.61,6.54,14.84,19.32,36.38,6.33,5.6,10.28,,2.26,21.64,1.57,698.33,12.69,13.34,3.55,0.69,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,3,4544.25,,0.28,0.27,0.74,5.59,0.04,0.57,0.22,25.86,0.03,214.31,1.05,0,76.78,10.27,4.19,16.16,22.76,30.88,3.7,11.01,11.26,,1.59,18.6,0,602.41,12.62,8.53,2.98,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,5,4544.42,,0.4,1.49,0.56,5.4,0.21,6.21,0.19,29.32,0.02,197.56,0.92,0,81.48,16.8,7.32,15.42,20.83,27.56,6.15,12.28,11.65,,2.27,21.44,1.29,643.61,12.41,19.09,2.87,1.44,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,7,4544.58,,0.26,0.21,0.93,5.81,0.05,0.38,0.3,24.29,0.03,214.63,1.12,0,70.03,10.72,5.38,15.83,20.5,33.72,7.21,10.11,11.16,,2.3,26.71,0,743.07,13.04,21,3.83,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,9,4544.75,,0.29,0.36,0.82,5.6,0.06,0.83,0.32,28.98,0.02,209.49,1.07,0,78.89,11.36,5.03,24.94,19.39,27.42,5.82,10.18,10.74,,2.96,23.85,9.64,717.87,10.91,11.51,3.99,3.63,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,11,4544.92,,0.39,1.28,0.63,5.25,0.17,5.17,0.19,27.77,0.02,199.2,0.96,0,81.51,12.82,5.85,25.32,22.56,21.26,6.49,8.04,9.53,,2.33,22.32,1.21,734.19,14.26,18.78,3.25,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,13,4545.08,,0.39,1.21,0.62,5.26,0.16,4.46,0.22,30.76,0.02,200.37,0.94,0,84.3,13.49,4.49,22.7,22.32,30.93,7.31,8.23,9.94,,2.12,20.78,0,770.27,14.4,7.66,3.8,2.54,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,15,4545.25,,0.3,0.48,1.02,5.99,0.06,1.09,0.43,27.54,0.03,208.98,1.04,0,74.04,17.08,3.82,20.99,20.87,29.66,5.33,9.1,10.13,,2.69,27.69,2.64,672.02,15.24,24.02,3.81,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,17,4545.42,,0.3,0.42,0.99,5.72,0.05,0.84,0.32,25.7,0.04,206.54,1.45,0,76.12,10.46,4.09,26,21.93,31.79,6.38,24.15,11.06,,2.5,22.56,2.95,538.6,13.17,23.22,3.44,4.19,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,19,4545.58,,0.29,0.36,0.51,5.35,0.06,1.11,0.17,29.77,0.01,211.79,0.93,0,84.37,8.62,6.15,15.36,20.9,25.61,4.88,7.91,11.3,,1.65,18.48,0,569.43,15.19,11.96,3.56,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,25,4546.08,,0.29,0.39,0.93,5.95,0.09,1.05,0.32,24.64,0.03,210.45,1.1,0,73.26,14.34,7.07,15.77,20.65,56.12,6.06,8.69,10.56,,2.4,25.23,0,648.02,15.04,28.48,3.94,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,27,4546.25,,0.28,0.32,0.91,5.75,0.06,0.53,0.33,28.23,0.03,212.24,1.09,0,74.51,15.16,6.91,24.84,21.34,34.52,7.01,17.69,15.27,,2,23.03,0,595.37,12.89,28.96,3.03,0.71,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,29,4546.42,,0.26,0.23,0.68,5.26,0.04,0.39,0.19,29.74,0.01,213.29,0.97,0,83.77,6.06,5.47,15.84,20.46,31.19,5.52,8.33,10.26,,1.79,15.41,0,512.9,9.71,18.56,2.86,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,31,4546.58,,0.31,0.66,2.31,7.54,0.06,0.72,0.57,22.93,0.07,202.22,1.46,0,57.37,24.84,1.42,42.08,27.21,46.05,8.35,33.67,24.38,,3.51,35,9.03,604.57,18.31,75.21,4.73,14.1,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,33,4546.75,,0.34,0.64,0.46,5.05,0.09,2.19,0.16,30.58,0.01,207.67,0.93,0,83.06,9.78,6.45,19.51,19.21,26.55,3.73,7.34,9.65,,1.58,17.78,0,574.17,11.07,13.16,2.42,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,35,4546.92,,0.28,0.25,0.43,5.91,0.05,0.49,0.14,29.24,0.01,213.32,0.93,0,89.55,16.74,7.99,14.59,17.67,21.46,4.18,6.67,9.62,,1.62,6.71,6.93,536.95,6.98,8.64,2.87,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,37,4547.08,,0.26,0.23,0.36,5.01,0.05,0.49,0.07,28.33,0,215.76,0.96,0,74.7,3.15,6.43,15.75,20.19,28.62,4.05,9.88,8.11,,1.81,16.52,0,591.34,8.84,6.13,2.35,1.24,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,39,4547.25,,0.31,0.39,0.41,5.14,0.06,1.28,0.12,29.75,0.01,213.13,0.94,0,84.05,4.69,7.07,13.55,16.64,27.38,4.44,3.73,10.1,,1.77,14.04,0,591.33,7.23,1.95,2.44,0.08,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,41,4547.42,,0.34,0.62,0.45,5.17,0.1,2.92,0.07,23.84,0.01,209.05,1,0,81.01,5.94,6.58,17.37,19.52,32.98,3.81,6.43,7.87,,1.84,17.54,0,616.51,6.87,8.6,3.27,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,43,4547.58,,0.36,0.76,0.4,5.48,0.13,2.79,0.12,29.74,0.01,206.58,0.93,0,82.74,11.9,8.14,17.81,20.42,35.16,6.42,8.21,9.21,,1.72,15.56,0,613.06,8.37,5.24,2.53,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,45,4547.75,,0.31,0.31,0.64,5.68,0.11,1.06,0.24,24.61,0.01,212.81,0.97,0,79.82,9.54,6.83,13.49,22.79,42.08,5.46,7.32,8.66,,2.01,14.16,8.65,631.86,8.36,18.61,2.93,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,47,4547.92,,0.27,0.27,0.52,5.42,0.06,0.74,0.17,28.06,0.02,215.44,0.99,0,81.05,8.19,5.99,17.96,19.9,30.41,4.83,10.08,11.19,,2.24,21.29,1.1,577.84,10,12.3,2.87,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,49,4548.08,,0.26,0.21,0.43,5.21,0.05,0.52,0.14,29.91,0.01,215.06,1.01,0,80.31,7.23,6.18,13.13,19.51,27.8,5.85,7.02,9.93,,1.69,11.81,2.17,579.67,7.02,7.02,3.28,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,51,4548.25,,0.3,0.4,0.45,5.3,0.06,1.13,0.18,31.51,0.01,211.83,0.94,0,82,10.38,5.96,8.04,18.36,23.62,3.49,7.76,10.04,,1.83,14.41,1.46,571.55,11.47,7.97,3.45,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,53,4548.42,,0.27,0.28,0.45,5.34,0.05,0.95,0.12,27.15,0.01,215.89,0.96,0,82.62,6.58,7.21,20.71,21.26,30.87,4.92,8.36,10.91,,2.01,14.4,6.06,597.1,7.17,13.53,2.59,1.63,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,55,4548.58,,0.32,0.49,0.49,5.43,0.07,1.55,0.16,28.82,0.02,212.98,0.97,0,81.19,13.04,5.64,12.34,17.12,33.6,3.91,7.7,10.35,,2.15,14.85,6.52,583.54,11.2,10.34,3,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,57,4548.75,,0.3,0.38,0.33,5.45,0.05,0.81,0.13,34.49,0.01,212.09,0.9,0,88.04,13.9,4.99,14.09,18.65,26.14,5.02,5.94,9.04,,2.02,16.75,0,527.71,7.6,4.1,2.87,3.14,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,59,4548.92,,0.3,0.35,0.31,5.05,0.05,0.99,0.05,30.97,0.01,213.09,0.96,0,85.33,7.16,6.26,9.68,19.94,35.03,4.4,10.41,10.68,,1.97,15.19,0.9,590.05,10.77,9.13,3.19,0.64,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,61,4549.08,,0.31,0.4,0.41,5.17,0.06,1.38,0.14,30.84,0.01,212.38,0.93,0,82.75,8.02,5.63,17.52,22.24,41.41,4.04,10.5,11.02,,1.68,19.39,0,607.88,13.04,12.76,3.2,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,63,4549.25,,0.29,0.36,0.86,5.79,0.05,0.51,0.29,25.58,0.03,214.43,1.06,0,74.27,11.05,7.26,12.64,20.56,37.92,6.18,10.76,11.3,,2.06,22.75,0,612.31,12.23,18.26,3.27,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,65,4549.42,,0.29,0.6,1.38,6.04,0.05,0.39,0.29,31.29,0.03,211.94,1.02,0,78.44,16.05,5.7,24.89,20.21,34.88,7.81,11.72,12.03,,2.82,24.81,7.57,569.64,14.21,63.17,5.09,3.66,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,67,4549.58,,0.25,0.24,0.78,5.42,0.05,0.38,0.1,26.86,0.02,219.81,1.06,0,77.4,6.7,6.38,22.52,18.92,28.04,7.25,13.9,11.15,,1.74,25.76,0,567.13,16.7,36.48,2.94,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,69,4549.75,,0.31,0.52,0.04,5.11,0.39,0.59,0.18,35.78,0.01,211.92,1.03,0,87.68,12.64,5.52,17.55,20.85,21.15,2.89,10.02,10.52,,1.96,6.71,13.35,489.39,7.33,7.36,2.88,1.68,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,73,4550.08,,0.28,0.29,0.75,5.6,0.05,0.39,0.26,28.79,0.02,215.22,1.04,0,81.59,12.47,6.62,20.44,21.17,28.19,6.67,16.03,11.29,,2.37,19.11,4.61,567.28,13.18,14.67,4.18,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,75,4550.25,,0.28,0.35,0.53,5.47,0.05,1.06,0.13,26.97,0.01,215.69,1.02,0,82.49,6.98,4.97,18.97,20.17,35.21,4.87,8.39,9.4,,1.81,17.37,0,592.17,8.97,8.54,2.7,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,77,4550.42,,0.26,0.21,0.34,5.77,0.07,0.47,0.06,27.35,0.01,215.56,0.97,0,79.84,13.44,7.9,14.39,18.41,24.59,4.78,6.97,7.63,,1.75,16.7,0,499.17,8.67,8.63,3.19,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,79,4550.58,,0.35,0.73,0.42,5.5,0.21,2.31,0.16,28.28,0.02,207.24,0.94,0,79.92,11.52,6.68,14.82,19.1,25.85,4.49,8.81,9.54,,1.28,11.14,0,525.81,11.04,15.1,3.36,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,81,4550.75,,0.29,0.4,1.07,6.23,0.08,0.58,0.35,24.61,0.03,210.15,1.13,0,76.17,14.93,5.39,21.29,21.1,43.59,5.59,9.67,10.89,,2.7,27.26,0.98,609.37,14.66,26.62,3.57,2.74,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,83,4550.92,,0.33,0.61,0.68,5.76,0.08,1.96,0.26,26.78,0.01,207.81,0.91,0,78.72,14.62,4.4,16.45,17.7,27.12,5.08,7.43,11.37,,1.9,20.9,0,628.91,11.79,9.61,3.01,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
Core-01,4544,B02,85,4551.08,,0.27,0.31,0.64,5.57,0.06,0.74,0.2,26.59,0.02,214.95,1.03,0,76.3,9.33,5.65,16.14,18.81,31.17,5.13,10.98,11.37,,2.42,22.98,2.81,589.99,10.44,16.42,3.22,0,,,,,,,,,,,,,,,,,,,,Austin Chalk
